Model,RMSE,MAE,R2,MAPE
Gradient Boosting,0.03505247909580725,0.017880905528170697,0.995947792158963,0.6615447729680481
Random Forest,0.05366660301723378,0.023686790023498126,0.9905013377145996,0.8913667992042733
Linear Regression,0.06409890421684784,0.04043927191740644,0.986449496114111,1.6493241402390315
